Time: 1594426534, Messages: 0, Members Joined: 0
Time: 1594426539, Messages: 0, Members Joined: 0
Time: 1594426544, Messages: 0, Members Joined: 0
Time: 1594426549, Messages: 1, Members Joined: 0
Time: 1594426554, Messages: 0, Members Joined: 0
Time: 1594426559, Messages: 0, Members Joined: 0
Time: 1594426564, Messages: 0, Members Joined: 0
Time: 1594426569, Messages: 0, Members Joined: 0
Time: 1594426574, Messages: 0, Members Joined: 0
Time: 1594426579, Messages: 0, Members Joined: 0
Time: 1594426584, Messages: 0, Members Joined: 0
Time: 1594470809, Messages: 0, Members Joined: 0
Time: 1594470814, Messages: 0, Members Joined: 0
Time: 1594470819, Messages: 0, Members Joined: 0
Time: 1594470824, Messages: 1, Members Joined: 0
Time: 1594470829, Messages: 0, Members Joined: 0
Time: 1594470834, Messages: 0, Members Joined: 0
Time: 1594470839, Messages: 0, Members Joined: 0
Time: 1594470844, Messages: 0, Members Joined: 0
Time: 1594470849, Messages: 0, Members Joined: 0
Time: 1594470854, Messages: 0, Members Joined: 0
Time: 1594470859, Messages: 0, Members Joined: 0
Time: 1594470864, Messages: 0, Members Joined: 0
Time: 1594470869, Messages: 0, Members Joined: 0
Time: 1594470874, Messages: 0, Members Joined: 0
Time: 1594470879, Messages: 0, Members Joined: 0
Time: 1594470885, Messages: 0, Members Joined: 0
Time: 1594470890, Messages: 0, Members Joined: 0
Time: 1594470895, Messages: 0, Members Joined: 0
Time: 1594470900, Messages: 0, Members Joined: 0
Time: 1594470905, Messages: 0, Members Joined: 0
Time: 1594470910, Messages: 0, Members Joined: 0
Time: 1594470915, Messages: 0, Members Joined: 0
Time: 1594470920, Messages: 0, Members Joined: 0
Time: 1594470925, Messages: 0, Members Joined: 0
Time: 1594470930, Messages: 0, Members Joined: 0
Time: 1594470935, Messages: 0, Members Joined: 0
Time: 1594470940, Messages: 0, Members Joined: 0
Time: 1594470945, Messages: 0, Members Joined: 0
Time: 1594470950, Messages: 0, Members Joined: 0
Time: 1594470955, Messages: 0, Members Joined: 0
Time: 1594470960, Messages: 0, Members Joined: 0
Time: 1594470965, Messages: 0, Members Joined: 0
Time: 1594470970, Messages: 0, Members Joined: 0
Time: 1594470975, Messages: 0, Members Joined: 0
Time: 1594470980, Messages: 0, Members Joined: 0
Time: 1594470985, Messages: 0, Members Joined: 0
Time: 1594470990, Messages: 0, Members Joined: 0
Time: 1594470995, Messages: 0, Members Joined: 0
Time: 1594471000, Messages: 0, Members Joined: 0
Time: 1594471005, Messages: 0, Members Joined: 0
Time: 1594471010, Messages: 0, Members Joined: 0
Time: 1594471015, Messages: 0, Members Joined: 0
Time: 1594471020, Messages: 0, Members Joined: 0
Time: 1594471025, Messages: 0, Members Joined: 0
Time: 1594471030, Messages: 0, Members Joined: 0
Time: 1594471035, Messages: 0, Members Joined: 0
Time: 1594471040, Messages: 0, Members Joined: 0
Time: 1594471045, Messages: 0, Members Joined: 0
Time: 1594471050, Messages: 0, Members Joined: 0
Time: 1594471054, Messages: 0, Members Joined: 0
Time: 1594471055, Messages: 0, Members Joined: 0
Time: 1594471059, Messages: 0, Members Joined: 0
Time: 1594471060, Messages: 0, Members Joined: 0
Time: 1594471064, Messages: 0, Members Joined: 0
Time: 1594471065, Messages: 0, Members Joined: 0
Time: 1594471069, Messages: 0, Members Joined: 0
Time: 1594471070, Messages: 0, Members Joined: 0
Time: 1594471074, Messages: 0, Members Joined: 0
Time: 1594471075, Messages: 0, Members Joined: 0
Time: 1594471079, Messages: 0, Members Joined: 0
Time: 1594471080, Messages: 0, Members Joined: 0
Time: 1594471084, Messages: 0, Members Joined: 0
Time: 1594471085, Messages: 0, Members Joined: 0
Time: 1594471089, Messages: 0, Members Joined: 0
Time: 1594471090, Messages: 0, Members Joined: 0
Time: 1594471093, Messages: 0, Members Joined: 0
Time: 1594471094, Messages: 0, Members Joined: 0
Time: 1594471095, Messages: 0, Members Joined: 0
Time: 1594471098, Messages: 0, Members Joined: 0
Time: 1594471099, Messages: 0, Members Joined: 0
Time: 1594471100, Messages: 0, Members Joined: 0
Time: 1594471103, Messages: 0, Members Joined: 0
Time: 1594471104, Messages: 0, Members Joined: 0
Time: 1594471105, Messages: 0, Members Joined: 0
Time: 1594471108, Messages: 0, Members Joined: 0
Time: 1594471109, Messages: 0, Members Joined: 0
Time: 1594471110, Messages: 1, Members Joined: 0
Time: 1594471113, Messages: 1, Members Joined: 0
Time: 1594471114, Messages: 2, Members Joined: 0
Time: 1594471115, Messages: 1, Members Joined: 0
Time: 1594471118, Messages: 1, Members Joined: 0
Time: 1594471119, Messages: 0, Members Joined: 0
Time: 1594471120, Messages: 0, Members Joined: 0
Time: 1594471123, Messages: 0, Members Joined: 0
Time: 1594471124, Messages: 0, Members Joined: 0
Time: 1594471125, Messages: 0, Members Joined: 0
Time: 1594471128, Messages: 0, Members Joined: 0
Time: 1594471129, Messages: 0, Members Joined: 0
Time: 1594471130, Messages: 0, Members Joined: 0
Time: 1594471133, Messages: 0, Members Joined: 0
Time: 1594471134, Messages: 0, Members Joined: 0
Time: 1594471135, Messages: 0, Members Joined: 0
Time: 1594471138, Messages: 0, Members Joined: 0
Time: 1594471139, Messages: 0, Members Joined: 0
Time: 1594471140, Messages: 0, Members Joined: 0
Time: 1594471143, Messages: 0, Members Joined: 0
Time: 1594471144, Messages: 0, Members Joined: 0
Time: 1594471145, Messages: 0, Members Joined: 0
Time: 1594471148, Messages: 0, Members Joined: 0
Time: 1594471149, Messages: 0, Members Joined: 0
Time: 1594471150, Messages: 0, Members Joined: 0
Time: 1594471153, Messages: 0, Members Joined: 0
Time: 1594471154, Messages: 0, Members Joined: 0
Time: 1594471155, Messages: 0, Members Joined: 0
Time: 1594471158, Messages: 0, Members Joined: 0
Time: 1594471159, Messages: 0, Members Joined: 0
Time: 1594471160, Messages: 0, Members Joined: 0
Time: 1594471163, Messages: 0, Members Joined: 0
Time: 1594471164, Messages: 0, Members Joined: 0
Time: 1594471165, Messages: 0, Members Joined: 0
Time: 1594471168, Messages: 0, Members Joined: 0
Time: 1594471169, Messages: 0, Members Joined: 0
Time: 1594471170, Messages: 0, Members Joined: 0
Time: 1594471173, Messages: 0, Members Joined: 0
Time: 1594471174, Messages: 0, Members Joined: 0
Time: 1594471175, Messages: 0, Members Joined: 0
Time: 1594471178, Messages: 0, Members Joined: 0
Time: 1594471179, Messages: 0, Members Joined: 0
Time: 1594471180, Messages: 0, Members Joined: 0
Time: 1594471183, Messages: 0, Members Joined: 0
Time: 1594471184, Messages: 0, Members Joined: 0
Time: 1594471185, Messages: 0, Members Joined: 0
Time: 1594471188, Messages: 0, Members Joined: 0
Time: 1594471189, Messages: 0, Members Joined: 0
Time: 1594471190, Messages: 0, Members Joined: 0
Time: 1594471193, Messages: 0, Members Joined: 0
Time: 1594471194, Messages: 0, Members Joined: 0
Time: 1594471195, Messages: 0, Members Joined: 0
Time: 1594471198, Messages: 0, Members Joined: 0
Time: 1594471199, Messages: 0, Members Joined: 0
Time: 1594471200, Messages: 0, Members Joined: 0
Time: 1594471203, Messages: 0, Members Joined: 0
Time: 1594471204, Messages: 0, Members Joined: 0
Time: 1594471205, Messages: 0, Members Joined: 0
Time: 1594471208, Messages: 0, Members Joined: 0
Time: 1594471209, Messages: 0, Members Joined: 0
Time: 1594471210, Messages: 0, Members Joined: 0
Time: 1594471213, Messages: 0, Members Joined: 0
Time: 1594471214, Messages: 0, Members Joined: 0
Time: 1594471215, Messages: 0, Members Joined: 0
Time: 1594471218, Messages: 0, Members Joined: 0
Time: 1594471219, Messages: 0, Members Joined: 0
Time: 1594471220, Messages: 0, Members Joined: 0
Time: 1594471223, Messages: 0, Members Joined: 0
Time: 1594471224, Messages: 0, Members Joined: 0
Time: 1594471225, Messages: 0, Members Joined: 0
Time: 1594471228, Messages: 0, Members Joined: 0
Time: 1594471229, Messages: 0, Members Joined: 0
Time: 1594471230, Messages: 0, Members Joined: 0
Time: 1594471233, Messages: 0, Members Joined: 0
Time: 1594471234, Messages: 0, Members Joined: 0
Time: 1594471235, Messages: 0, Members Joined: 0
Time: 1594471238, Messages: 0, Members Joined: 0
Time: 1594471239, Messages: 0, Members Joined: 0
Time: 1594471240, Messages: 0, Members Joined: 0
Time: 1594471243, Messages: 0, Members Joined: 0
Time: 1594471244, Messages: 0, Members Joined: 0
Time: 1594471245, Messages: 0, Members Joined: 0
Time: 1594471248, Messages: 0, Members Joined: 0
Time: 1594471249, Messages: 0, Members Joined: 0
Time: 1594471250, Messages: 0, Members Joined: 0
Time: 1594471253, Messages: 0, Members Joined: 0
Time: 1594471254, Messages: 0, Members Joined: 0
Time: 1594471255, Messages: 0, Members Joined: 0
Time: 1594471258, Messages: 0, Members Joined: 0
Time: 1594471259, Messages: 0, Members Joined: 0
Time: 1594471260, Messages: 0, Members Joined: 0
Time: 1594471263, Messages: 0, Members Joined: 0
Time: 1594471264, Messages: 0, Members Joined: 0
Time: 1594471265, Messages: 0, Members Joined: 0
Time: 1594471268, Messages: 0, Members Joined: 0
Time: 1594471269, Messages: 0, Members Joined: 0
Time: 1594471270, Messages: 0, Members Joined: 0
Time: 1594471273, Messages: 0, Members Joined: 0
Time: 1594471274, Messages: 0, Members Joined: 0
Time: 1594471275, Messages: 0, Members Joined: 0
Time: 1594471278, Messages: 0, Members Joined: 0
Time: 1594471279, Messages: 0, Members Joined: 0
Time: 1594471280, Messages: 0, Members Joined: 0
Time: 1594471283, Messages: 0, Members Joined: 0
Time: 1594471284, Messages: 0, Members Joined: 0
Time: 1594471285, Messages: 0, Members Joined: 0
Time: 1594471288, Messages: 0, Members Joined: 0
Time: 1594471289, Messages: 0, Members Joined: 0
Time: 1594471290, Messages: 0, Members Joined: 0
Time: 1594471293, Messages: 0, Members Joined: 0
Time: 1594471294, Messages: 0, Members Joined: 0
Time: 1594471295, Messages: 0, Members Joined: 0
Time: 1594471298, Messages: 0, Members Joined: 0
Time: 1594471299, Messages: 0, Members Joined: 0
Time: 1594471300, Messages: 0, Members Joined: 0
Time: 1594471303, Messages: 0, Members Joined: 0
Time: 1594471304, Messages: 0, Members Joined: 0
Time: 1594471305, Messages: 0, Members Joined: 0
Time: 1594471308, Messages: 0, Members Joined: 0
Time: 1594471309, Messages: 0, Members Joined: 0
Time: 1594471310, Messages: 0, Members Joined: 0
Time: 1594471313, Messages: 0, Members Joined: 0
Time: 1594471314, Messages: 0, Members Joined: 0
Time: 1594471315, Messages: 0, Members Joined: 0
Time: 1594471318, Messages: 0, Members Joined: 0
Time: 1594471319, Messages: 0, Members Joined: 0
Time: 1594471321, Messages: 0, Members Joined: 0
Time: 1594471323, Messages: 0, Members Joined: 0
Time: 1594471324, Messages: 0, Members Joined: 0
Time: 1594471326, Messages: 0, Members Joined: 0
Time: 1594471328, Messages: 0, Members Joined: 0
Time: 1594471329, Messages: 0, Members Joined: 0
Time: 1594471331, Messages: 0, Members Joined: 0
Time: 1594471333, Messages: 0, Members Joined: 0
Time: 1594471335, Messages: 0, Members Joined: 0
Time: 1594471336, Messages: 0, Members Joined: 0
Time: 1594471338, Messages: 0, Members Joined: 0
Time: 1594471340, Messages: 0, Members Joined: 0
Time: 1594471341, Messages: 0, Members Joined: 0
Time: 1594471343, Messages: 0, Members Joined: 0
Time: 1594471345, Messages: 0, Members Joined: 0
Time: 1594471346, Messages: 0, Members Joined: 0
Time: 1594471348, Messages: 0, Members Joined: 0
Time: 1594471350, Messages: 0, Members Joined: 0
Time: 1594471351, Messages: 0, Members Joined: 0
Time: 1594471353, Messages: 0, Members Joined: 0
Time: 1594471355, Messages: 0, Members Joined: 0
Time: 1594471356, Messages: 0, Members Joined: 0
Time: 1594471358, Messages: 0, Members Joined: 0
Time: 1594471360, Messages: 0, Members Joined: 0
Time: 1594471361, Messages: 0, Members Joined: 0
Time: 1594471363, Messages: 0, Members Joined: 0
Time: 1594471365, Messages: 0, Members Joined: 0
Time: 1594471366, Messages: 0, Members Joined: 0
Time: 1594471368, Messages: 0, Members Joined: 0
Time: 1594471370, Messages: 0, Members Joined: 0
Time: 1594471371, Messages: 0, Members Joined: 0
Time: 1594471373, Messages: 0, Members Joined: 0
Time: 1594471375, Messages: 0, Members Joined: 0
Time: 1594471376, Messages: 0, Members Joined: 0
Time: 1594471378, Messages: 0, Members Joined: 0
Time: 1594471380, Messages: 0, Members Joined: 0
Time: 1594471381, Messages: 0, Members Joined: 0
Time: 1594471383, Messages: 0, Members Joined: 0
Time: 1594471385, Messages: 0, Members Joined: 0
Time: 1594471386, Messages: 0, Members Joined: 0
Time: 1594471388, Messages: 0, Members Joined: 0
Time: 1594471390, Messages: 0, Members Joined: 0
Time: 1594471391, Messages: 0, Members Joined: 0
Time: 1594471393, Messages: 0, Members Joined: 0
Time: 1594471395, Messages: 0, Members Joined: 0
Time: 1594471396, Messages: 0, Members Joined: 0
Time: 1594471399, Messages: 0, Members Joined: 0
Time: 1594471400, Messages: 0, Members Joined: 0
Time: 1594471401, Messages: 0, Members Joined: 0
Time: 1594471404, Messages: 0, Members Joined: 0
Time: 1594471405, Messages: 0, Members Joined: 0
Time: 1594471406, Messages: 0, Members Joined: 0
Time: 1594471409, Messages: 0, Members Joined: 0
Time: 1594471410, Messages: 0, Members Joined: 0
Time: 1594471411, Messages: 0, Members Joined: 0
Time: 1594471414, Messages: 0, Members Joined: 0
Time: 1594471415, Messages: 0, Members Joined: 0
Time: 1594471416, Messages: 0, Members Joined: 0
Time: 1594471419, Messages: 0, Members Joined: 0
Time: 1594471420, Messages: 0, Members Joined: 0
Time: 1594471421, Messages: 0, Members Joined: 0
Time: 1594471424, Messages: 0, Members Joined: 0
Time: 1594471425, Messages: 0, Members Joined: 0
Time: 1594471426, Messages: 0, Members Joined: 0
Time: 1594471429, Messages: 0, Members Joined: 0
Time: 1594471430, Messages: 0, Members Joined: 0
Time: 1594471431, Messages: 0, Members Joined: 0
Time: 1594471434, Messages: 0, Members Joined: 0
Time: 1594471435, Messages: 0, Members Joined: 0
Time: 1594471436, Messages: 0, Members Joined: 0
Time: 1594471439, Messages: 0, Members Joined: 0
Time: 1594471440, Messages: 0, Members Joined: 0
Time: 1594471441, Messages: 0, Members Joined: 0
Time: 1594471444, Messages: 0, Members Joined: 0
Time: 1594471445, Messages: 0, Members Joined: 0
Time: 1594471446, Messages: 0, Members Joined: 0
Time: 1594471449, Messages: 0, Members Joined: 0
Time: 1594471450, Messages: 0, Members Joined: 0
Time: 1594471451, Messages: 0, Members Joined: 0
Time: 1594471454, Messages: 0, Members Joined: 0
Time: 1594471455, Messages: 0, Members Joined: 0
Time: 1594471456, Messages: 0, Members Joined: 0
Time: 1594471459, Messages: 0, Members Joined: 0
Time: 1594471460, Messages: 0, Members Joined: 0
Time: 1594471461, Messages: 0, Members Joined: 0
Time: 1594471464, Messages: 0, Members Joined: 0
Time: 1594471465, Messages: 0, Members Joined: 0
Time: 1594471466, Messages: 0, Members Joined: 0
Time: 1594471469, Messages: 0, Members Joined: 0
Time: 1594471470, Messages: 0, Members Joined: 0
Time: 1594471471, Messages: 0, Members Joined: 0
Time: 1594471474, Messages: 0, Members Joined: 0
Time: 1594471475, Messages: 0, Members Joined: 0
Time: 1594471476, Messages: 0, Members Joined: 0
Time: 1594471479, Messages: 0, Members Joined: 0
Time: 1594471480, Messages: 0, Members Joined: 0
Time: 1594471481, Messages: 0, Members Joined: 0
Time: 1594471484, Messages: 0, Members Joined: 0
Time: 1594471485, Messages: 0, Members Joined: 0
Time: 1594471486, Messages: 0, Members Joined: 0
Time: 1594471489, Messages: 0, Members Joined: 0
Time: 1594471490, Messages: 0, Members Joined: 0
Time: 1594471491, Messages: 0, Members Joined: 0
Time: 1594471494, Messages: 0, Members Joined: 0
Time: 1594471495, Messages: 0, Members Joined: 0
Time: 1594471496, Messages: 0, Members Joined: 0
Time: 1594471499, Messages: 0, Members Joined: 0
Time: 1594471500, Messages: 0, Members Joined: 0
Time: 1594471501, Messages: 0, Members Joined: 0
Time: 1594471504, Messages: 0, Members Joined: 0
Time: 1594471505, Messages: 0, Members Joined: 0
Time: 1594471506, Messages: 0, Members Joined: 0
Time: 1594471509, Messages: 0, Members Joined: 0
Time: 1594471510, Messages: 0, Members Joined: 0
Time: 1594471511, Messages: 0, Members Joined: 0
Time: 1594471514, Messages: 0, Members Joined: 0
Time: 1594471515, Messages: 0, Members Joined: 0
Time: 1594471516, Messages: 0, Members Joined: 0
Time: 1594471516, Messages: 0, Members Joined: 0
Time: 1594471519, Messages: 1, Members Joined: 0
Time: 1594471520, Messages: 2, Members Joined: 0
Time: 1594471521, Messages: 2, Members Joined: 0
Time: 1594471521, Messages: 2, Members Joined: 0
Time: 1594471524, Messages: 1, Members Joined: 0
Time: 1594471525, Messages: 0, Members Joined: 0
Time: 1594471526, Messages: 0, Members Joined: 0
Time: 1594471526, Messages: 0, Members Joined: 0
Time: 1594471529, Messages: 0, Members Joined: 0
Time: 1594471530, Messages: 0, Members Joined: 0
Time: 1594471531, Messages: 0, Members Joined: 0
Time: 1594471531, Messages: 0, Members Joined: 0
Time: 1594471534, Messages: 0, Members Joined: 0
Time: 1594471535, Messages: 0, Members Joined: 0
Time: 1594471536, Messages: 0, Members Joined: 0
Time: 1594471536, Messages: 0, Members Joined: 0
Time: 1594471539, Messages: 0, Members Joined: 0
Time: 1594471540, Messages: 0, Members Joined: 0
Time: 1594471541, Messages: 0, Members Joined: 0
Time: 1594471541, Messages: 0, Members Joined: 0
Time: 1594471544, Messages: 0, Members Joined: 0
Time: 1594471545, Messages: 0, Members Joined: 0
Time: 1594471546, Messages: 0, Members Joined: 0
Time: 1594471546, Messages: 0, Members Joined: 0
Time: 1594471549, Messages: 0, Members Joined: 0
Time: 1594471550, Messages: 0, Members Joined: 0
Time: 1594471551, Messages: 0, Members Joined: 0
Time: 1594471551, Messages: 0, Members Joined: 0
Time: 1594471554, Messages: 0, Members Joined: 0
Time: 1594471555, Messages: 0, Members Joined: 0
Time: 1594471556, Messages: 0, Members Joined: 0
Time: 1594471556, Messages: 0, Members Joined: 0
Time: 1594471559, Messages: 0, Members Joined: 0
Time: 1594471560, Messages: 0, Members Joined: 0
Time: 1594471561, Messages: 0, Members Joined: 0
Time: 1594471561, Messages: 0, Members Joined: 0
Time: 1594471564, Messages: 0, Members Joined: 0
Time: 1594471565, Messages: 0, Members Joined: 0
Time: 1594471566, Messages: 0, Members Joined: 0
Time: 1594471566, Messages: 0, Members Joined: 0
Time: 1594471569, Messages: 0, Members Joined: 0
Time: 1594471570, Messages: 0, Members Joined: 0
Time: 1594471571, Messages: 0, Members Joined: 0
Time: 1594471571, Messages: 0, Members Joined: 0
Time: 1594471574, Messages: 0, Members Joined: 0
Time: 1594471575, Messages: 0, Members Joined: 0
Time: 1594471576, Messages: 0, Members Joined: 0
Time: 1594471576, Messages: 0, Members Joined: 0
Time: 1594471579, Messages: 0, Members Joined: 0
Time: 1594471580, Messages: 0, Members Joined: 0
